Month,Python: (China),Java: (China),JavaScript: (China),Ruby: (China),C#: (China)
2004-01,<1,14,4,<1,3
2004-02,1,17,5,<1,3
2004-03,<1,15,5,<1,3
2004-04,1,15,6,<1,3
2004-05,1,15,5,<1,3
2004-06,<1,14,5,<1,3
2004-07,<1,14,5,<1,3
2004-08,<1,14,5,<1,3
2004-09,1,16,5,<1,3
2004-10,<1,14,4,<1,3
2004-11,1,15,5,<1,3
2004-12,1,15,5,<1,3
2005-01,1,15,5,<1,3
2005-02,<1,12,4,<1,3
2005-03,1,16,5,<1,4
2005-04,1,15,5,<1,3
2005-05,1,14,5,<1,4
2005-06,<1,14,5,<1,3
2005-07,1,13,5,<1,4
2005-08,1,13,5,<1,4
2005-09,1,14,5,<1,4
2005-10,1,13,5,<1,4
2005-11,1,15,5,<1,4
2005-12,1,15,6,<1,4
2006-01,1,12,5,<1,4
2006-02,1,13,5,<1,4
2006-03,1,15,5,<1,5
2006-04,1,14,5,<1,4
2006-05,1,13,5,<1,4
2006-06,1,13,5,<1,4
2006-07,1,12,5,<1,4
2006-08,1,13,5,<1,4
2006-09,1,13,6,1,4
2006-10,1,12,5,<1,4
2006-11,1,14,6,<1,4
2006-12,1,13,6,<1,5
2007-01,1,13,6,<1,5
2007-02,1,10,4,1,3
2007-03,1,12,5,1,5
2007-04,1,13,6,<1,5
2007-05,1,11,5,<1,4
2007-06,1,11,5,<1,4
2007-07,1,11,5,<1,4
2007-08,1,11,6,<1,4
2007-09,1,12,6,<1,4
2007-10,1,11,5,<1,4
2007-11,1,13,8,<1,6
2007-12,1,12,9,1,5
2008-01,1,12,9,<1,5
2008-02,1,8,7,<1,4
2008-03,1,11,8,<1,5
2008-04,1,12,8,<1,6
2008-05,1,11,8,<1,5
2008-06,1,10,6,<1,5
2008-07,1,11,7,<1,5
2008-08,1,10,7,<1,5
2008-09,1,11,7,<1,5
2008-10,1,11,7,<1,5
2008-11,1,12,7,<1,5
2008-12,1,12,8,<1,6
2009-01,1,9,5,<1,4
2009-02,1,11,6,<1,5
2009-03,2,13,7,<1,6
2009-04,2,13,7,<1,6
2009-05,1,12,7,<1,5
2009-06,1,11,7,<1,5
2009-07,1,11,7,<1,6
2009-08,2,11,7,<1,5
2009-09,2,12,7,<1,5
2009-10,1,10,6,<1,3
2009-11,2,12,7,<1,4
2009-12,2,11,7,<1,4
2010-01,2,11,6,<1,4
2010-02,1,9,5,<1,3
2010-03,2,13,7,<1,5
2010-04,2,12,7,<1,6
2010-05,2,12,6,<1,6
2010-06,2,11,6,<1,5
2010-07,2,11,6,<1,6
2010-08,2,11,7,<1,6
2010-09,2,11,6,<1,5
2010-10,2,11,5,<1,5
2010-11,2,14,7,<1,7
2010-12,2,14,8,1,7
2011-01,2,11,6,<1,5
2011-02,2,9,5,<1,4
2011-03,2,13,7,<1,6
2011-04,2,13,7,<1,6
2011-05,2,13,7,<1,6
2011-06,2,12,7,<1,6
2011-07,2,11,6,<1,5
2011-08,2,11,7,<1,5
2011-09,2,9,5,<1,4
2011-10,2,9,4,<1,3
2011-11,2,9,5,<1,4
2011-12,2,9,5,<1,4
2012-01,1,6,3,<1,2
2012-02,2,8,4,<1,3
2012-03,2,8,4,<1,3
2012-04,2,8,4,<1,3
2012-05,2,8,4,<1,3
2012-06,2,7,4,<1,3
2012-07,2,8,4,<1,3
2012-08,2,9,4,<1,3
2012-09,4,17,8,1,6
2012-10,4,14,8,1,5
2012-11,5,14,8,1,6
2012-12,5,14,8,1,6
