Month,Python: (India),Java: (India),JavaScript: (India),Ruby: (India),C#: (India)
2004-01,1,80,28,<1,13
2004-02,2,93,31,<1,15
2004-03,1,94,31,1,13
2004-04,2,90,30,<1,15
2004-05,1,78,27,<1,14
2004-06,1,83,29,<1,16
2004-07,2,88,30,<1,16
2004-08,2,86,31,<1,15
2004-09,2,94,30,<1,17
2004-10,2,86,28,<1,17
2004-11,2,83,30,<1,16
2004-12,2,89,30,<1,19
2005-01,2,94,30,<1,20
2005-02,2,100,32,<1,21
2005-03,2,99,35,<1,22
2005-04,2,90,32,<1,23
2005-05,2,91,32,<1,23
2005-06,2,86,30,<1,22
2005-07,2,88,28,<1,21
2005-08,2,84,28,<1,22
2005-09,2,88,31,<1,22
2005-10,2,81,29,<1,21
2005-11,2,77,29,<1,21
2005-12,2,81,31,1,22
2006-01,2,83,30,1,22
2006-02,3,84,32,<1,24
2006-03,2,85,31,1,25
2006-04,2,79,30,1,23
2006-05,2,73,29,1,24
2006-06,2,72,29,1,22
2006-07,2,73,28,1,22
2006-08,2,71,28,1,21
2006-09,2,71,29,1,22
2006-10,2,65,25,1,20
2006-11,2,70,28,1,22
2006-12,2,63,26,1,21
2007-01,3,66,25,1,21
2007-02,3,69,26,1,22
2007-03,2,68,27,1,21
2007-04,2,65,26,1,21
2007-05,2,62,25,1,21
2007-06,2,61,25,1,20
2007-07,2,60,25,1,21
2007-08,2,61,25,1,21
2007-09,2,60,24,1,21
2007-10,2,60,25,1,22
2007-11,2,55,24,1,19
2007-12,2,56,24,1,20
2008-01,2,58,23,1,21
2008-02,2,59,24,1,22
2008-03,2,58,24,1,21
2008-04,2,56,24,1,22
2008-05,2,49,22,1,20
2008-06,2,49,22,1,19
2008-07,2,52,22,1,21
2008-08,2,49,20,1,20
2008-09,2,49,22,1,20
2008-10,2,44,20,1,18
2008-11,2,44,21,1,18
2008-12,2,43,20,1,18
2009-01,2,43,19,1,18
2009-02,2,48,21,1,19
2009-03,2,46,20,1,19
2009-04,2,43,22,1,17
2009-05,2,37,19,1,15
2009-06,2,39,20,1,15
2009-07,2,41,20,1,16
2009-08,2,40,19,1,15
2009-09,2,39,19,1,14
2009-10,2,38,17,1,14
2009-11,2,40,18,1,15
2009-12,2,37,17,1,14
2010-01,2,39,17,1,14
2010-02,2,43,18,1,15
2010-03,2,43,18,1,15
2010-04,2,40,17,1,15
2010-05,2,37,16,1,14
2010-06,2,36,15,1,14
2010-07,2,34,14,1,12
2010-08,2,37,14,1,12
2010-09,2,36,14,1,12
2010-10,2,35,14,1,12
2010-11,2,32,13,1,10
2010-12,2,34,13,1,11
2011-01,1,29,10,<1,9
2011-02,2,31,11,<1,9
2011-03,1,29,10,<1,9
2011-04,1,27,9,<1,8
2011-05,1,26,9,<1,8
2011-06,1,26,9,<1,7
2011-07,1,28,9,<1,7
2011-08,1,27,9,<1,7
2011-09,1,28,9,<1,7
2011-10,1,26,8,<1,6
2011-11,1,27,8,<1,7
2011-12,1,26,7,<1,6
2012-01,1,27,8,<1,7
2012-02,1,28,8,<1,7
2012-03,1,26,8,<1,7
2012-04,1,25,8,<1,7
2012-05,1,24,8,<1,7
2012-06,1,24,8,<1,7
2012-07,1,26,8,<1,7
2012-08,1,26,8,<1,7
2012-09,1,27,8,<1,7
2012-10,1,25,7,<1,7
2012-11,1,23,7,<1,6
2012-12,1,24,7,<1,6
2013-01,1,26,8,<1,8
2013-02,2,27,8,<1,8
2013-03,2,26,8,<1,8
2013-04,2,26,8,<1,7
2013-05,2,25,7,<1,7
2013-06,2,25,7,<1,7
2013-07,2,28,8,<1,7
2013-08,2,27,7,<1,7
2013-09,2,27,7,<1,7
2013-10,2,27,8,<1,7
2013-11,2,26,7,<1,6
2013-12,1,25,6,<1,5
2014-01,1,26,6,<1,5
2014-02,2,26,6,<1,6
2014-03,1,26,6,<1,5
2014-04,1,26,6,<1,5
2014-05,1,25,6,<1,5
2014-06,1,25,6,<1,5
2014-07,2,27,7,<1,6
2014-08,2,25,7,<1,6
2014-09,2,26,7,<1,6
2014-10,2,23,6,<1,5
2014-11,2,24,7,<1,6
2014-12,2,22,7,<1,5
2015-01,2,22,6,<1,5
2015-02,2,23,7,<1,6
2015-03,2,22,7,<1,5
2015-04,2,23,7,<1,5
2015-05,2,20,6,<1,5
2015-06,2,23,7,<1,5
2015-07,2,23,6,<1,5
2015-08,2,22,6,<1,4
2015-09,2,22,6,<1,5
2015-10,2,21,6,<1,4
2015-11,2,19,6,<1,4
2015-12,2,19,6,<1,4
2016-01,2,17,6,<1,4
2016-02,3,19,7,<1,5
2016-03,3,18,7,<1,5
2016-04,3,18,6,<1,5
2016-05,3,17,6,<1,4
2016-06,3,18,7,<1,5
2016-07,3,17,6,<1,4
2016-08,3,17,6,<1,4
2016-09,3,16,6,<1,4
2016-10,2,14,5,<1,3
2016-11,3,14,6,<1,4
2016-12,2,12,5,<1,3
2017-01,3,14,6,<1,4
2017-02,3,14,6,<1,4
2017-03,3,14,6,<1,4
2017-04,3,13,6,<1,3
2017-05,3,12,6,<1,3
2017-06,3,12,5,<1,3
2017-07,3,12,5,<1,3
2017-08,4,12,5,<1,3
2017-09,4,13,6,<1,4
2017-10,4,11,5,<1,3
2017-11,4,12,6,<1,3
2017-12,4,10,5,<1,3
2018-01,4,11,5,<1,3
2018-02,4,11,5,<1,3
2018-03,4,10,5,<1,3
2018-04,4,10,5,<1,3
2018-05,4,9,5,<1,3
2018-06,4,9,5,<1,3
2018-07,5,9,5,<1,3
2018-08,4,9,4,<1,2
2018-09,4,8,4,<1,2
2018-10,4,8,4,<1,2
2018-11,4,7,3,<1,2
2018-12,4,7,3,<1,2
2019-01,4,8,4,<1,2
2019-02,5,8,4,<1,2
2019-03,4,7,4,<1,2
2019-04,4,7,4,<1,2
2019-05,4,7,4,<1,2
2019-06,5,7,4,<1,2
