Month,Python: (United States),Java: (United States),JavaScript: (United States),Ruby: (United States),C#: (United States)
2004-01,9,89,40,1,17
2004-02,9,100,42,1,19
2004-03,9,96,40,1,19
2004-04,8,97,41,1,19
2004-05,8,88,39,1,19
2004-06,9,93,42,1,22
2004-07,8,90,40,1,22
2004-08,9,86,39,1,22
2004-09,9,92,37,1,20
2004-10,9,94,36,1,19
2004-11,8,83,33,1,18
2004-12,8,79,32,1,17
2005-01,8,77,32,1,19
2005-02,8,87,34,1,20
2005-03,8,80,34,1,20
2005-04,8,78,33,1,19
2005-05,9,75,33,1,20
2005-06,9,78,35,2,22
2005-07,8,72,32,2,20
2005-08,9,72,33,3,20
2005-09,8,73,30,2,19
2005-10,11,73,30,3,19
2005-11,8,69,29,3,18
2005-12,8,63,28,4,17
2006-01,8,62,28,3,17
2006-02,8,68,30,3,18
2006-03,8,65,30,4,19
2006-04,8,64,29,4,18
2006-05,7,60,29,4,18
2006-06,8,57,30,4,19
2006-07,7,53,27,4,17
2006-08,8,56,29,4,19
2006-09,9,58,26,4,17
2006-10,8,58,26,4,17
2006-11,7,56,25,3,16
2006-12,7,49,22,3,15
2007-01,7,51,24,3,16
2007-02,8,57,25,4,16
2007-03,7,55,24,3,16
2007-04,7,54,24,3,17
2007-05,8,52,25,4,18
2007-06,8,51,25,4,18
2007-07,8,49,25,4,18
2007-08,8,51,25,4,18
2007-09,8,52,24,3,17
2007-10,8,53,24,3,18
2007-11,8,50,23,3,16
2007-12,8,43,21,3,14
2008-01,8,46,22,3,16
2008-02,8,49,23,3,17
2008-03,8,48,23,3,17
2008-04,9,50,24,3,17
2008-05,9,45,21,3,17
2008-06,8,45,23,3,18
2008-07,9,44,23,3,17
2008-08,8,43,22,3,16
2008-09,8,46,22,3,16
2008-10,9,47,21,3,16
2008-11,8,44,20,3,14
2008-12,8,40,19,3,14
2009-01,8,41,20,3,15
2009-02,9,46,21,3,16
2009-03,9,46,22,3,16
2009-04,9,47,22,3,16
2009-05,9,40,20,3,15
2009-06,9,42,21,3,16
2009-07,9,41,21,3,15
2009-08,8,40,20,3,14
2009-09,9,44,20,3,15
2009-10,9,44,19,3,14
2009-11,9,43,19,3,13
2009-12,8,38,18,2,12
2010-01,8,39,18,2,12
2010-02,9,42,19,3,14
2010-03,9,43,20,3,14
2010-04,9,44,19,3,14
2010-05,9,40,18,3,14
2010-06,9,39,19,3,14
2010-07,8,37,17,2,12
2010-08,8,38,16,2,12
2010-09,8,40,16,2,12
2010-10,9,41,16,2,11
2010-11,9,39,15,2,11
2010-12,8,35,15,2,10
2011-01,9,32,14,2,10
2011-02,10,35,16,2,11
2011-03,9,36,17,3,11
2011-04,9,35,16,3,11
2011-05,9,32,16,2,10
2011-06,9,32,17,2,11
2011-07,9,30,16,2,10
2011-08,9,32,16,2,10
2011-09,10,34,16,2,10
2011-10,10,34,15,2,10
2011-11,9,33,15,2,10
2011-12,8,29,14,2,9
2012-01,9,30,16,2,10
2012-02,10,33,17,2,10
2012-03,10,33,16,3,10
2012-04,10,32,16,2,10
2012-05,9,28,16,2,10
2012-06,9,28,16,2,11
2012-07,9,29,16,2,10
2012-08,10,32,16,2,11
2012-09,10,34,15,2,10
2012-10,10,32,15,2,10
2012-11,10,30,14,2,9
2012-12,9,26,13,2,8
2013-01,10,41,15,2,9
2013-02,11,37,16,2,10
2013-03,11,33,16,2,10
2013-04,11,33,16,3,10
2013-05,11,29,16,3,10
2013-06,11,28,15,2,10
2013-07,11,28,16,3,10
2013-08,11,27,16,3,10
2013-09,12,30,15,2,10
2013-10,13,35,17,3,10
2013-11,12,30,16,2,9
2013-12,10,26,15,2,8
2014-01,12,33,16,2,9
2014-02,13,35,17,3,10
2014-03,12,31,17,2,10
2014-04,13,33,18,3,10
2014-05,12,29,17,2,10
2014-06,12,30,18,3,10
