Month,Blockchain: (Canada),Artificial intelligence: (Canada),Augmented reality: (Canada)
2004-01,0,62,4
2004-02,0,54,5
2004-03,0,51,5
2004-04,1,66,2
2004-05,0,53,4
2004-06,0,53,4
2004-07,0,53,2
2004-08,1,45,1
2004-09,0,45,3
2004-10,0,57,3
2004-11,0,65,4
2004-12,0,56,2
2005-01,1,57,2
2005-02,0,49,2
2005-03,0,49,1
2005-04,0,47,3
2005-05,0,48,2
2005-06,0,43,2
2005-07,0,45,2
2005-08,0,36,2
2005-09,1,46,3
2005-10,0,39,3
2005-11,1,47,2
2005-12,0,42,2
2006-01,0,41,3
2006-02,0,45,3
2006-03,<1,39,3
2006-04,0,44,2
2006-05,0,33,3
2006-06,0,36,1
2006-07,0,35,3
2006-08,1,34,2
2006-09,0,38,2
2006-10,0,40,2
2006-11,0,36,2
2006-12,0,39,3
2007-01,<1,41,2
2007-02,<1,37,1
2007-03,1,39,2
2007-04,<1,42,3
2007-05,0,36,2
2007-06,0,42,4
2007-07,0,37,4
2007-08,<1,36,4
2007-09,0,36,3
2007-10,<1,37,4
2007-11,<1,37,4
2007-12,0,35,4
2008-01,0,38,4
2008-02,0,35,3
2008-03,0,37,4
2008-04,0,37,5
2008-05,0,37,5
2008-06,0,36,3
2008-07,<1,31,4
2008-08,0,35,4
2008-09,0,38,3
2008-10,<1,35,3
2008-11,0,39,5
2008-12,0,39,3
2009-01,<1,38,3
2009-02,0,36,6
2009-03,<1,36,7
2009-04,<1,39,7
2009-05,0,35,6
2009-06,0,35,6
2009-07,0,36,7
2009-08,0,37,9
2009-09,<1,33,7
2009-10,<1,35,8
2009-11,<1,31,8
2009-12,<1,34,9
2010-01,<1,37,11
2010-02,<1,35,10
2010-03,<1,38,9
2010-04,<1,37,8
2010-05,<1,39,8
2010-06,<1,33,9
2010-07,<1,30,9
2010-08,0,36,9
2010-09,<1,37,11
2010-10,0,34,11
2010-11,0,32,9
2010-12,0,34,10
2011-01,<1,34,9
2011-02,1,33,9
2011-03,<1,34,13
2011-04,0,33,12
2011-05,<1,33,10
2011-06,<1,34,14
2011-07,<1,32,11
2011-08,0,34,13
2011-09,0,34,11
2011-10,<1,42,13
2011-11,<1,41,12
2011-12,0,35,17
2012-01,<1,38,15
2012-02,<1,37,15
2012-03,<1,37,15
2012-04,<1,32,15
2012-05,<1,34,16
2012-06,<1,30,16
2012-07,<1,32,18
2012-08,<1,30,16
2012-09,<1,32,12
2012-10,1,31,12
2012-11,<1,34,12
2012-12,<1,30,19
2013-01,<1,33,14
2013-02,<1,31,11
2013-03,1,31,11
2013-04,3,31,11
2013-05,1,31,11
2013-06,1,32,10
2013-07,1,30,11
2013-08,1,30,11
2013-09,1,33,10
2013-10,2,33,9
2013-11,5,32,11
2013-12,4,31,15
2014-01,4,34,11
2014-02,5,32,9
2014-03,5,34,10
2014-04,3,34,11
2014-05,3,33,11
2014-06,3,32,11
2014-07,3,31,10
2014-08,3,31,11
2014-09,2,34,10
2014-10,3,33,9
2014-11,3,36,11
2014-12,3,40,11
2015-01,2,40,10
2015-02,2,37,9
2015-03,2,40,9
2015-04,2,39,8
2015-05,2,40,8
2015-06,3,38,7
2015-07,3,40,8
2015-08,3,36,7
2015-09,4,37,8
2015-10,4,40,7
2015-11,6,43,8
2015-12,5,43,9
2016-01,5,42,7
2016-02,6,42,7
2016-03,6,56,8
2016-04,6,43,8
2016-05,11,41,7
2016-06,10,46,8
2016-07,7,40,25
2016-08,8,39,12
2016-09,8,47,10
2016-10,10,49,9
2016-11,10,57,10
2016-12,10,52,9
2017-01,12,64,8
2017-02,11,60,10
2017-03,14,65,11
2017-04,12,68,9
2017-05,20,65,9
2017-06,24,66,11
2017-07,21,68,10
2017-08,26,77,9
2017-09,30,77,17
2017-10,39,80,13
2017-11,60,90,14
2017-12,94,82,16
2018-01,87,93,13
2018-02,63,89,13
2018-03,51,86,15
2018-04,43,87,12
2018-05,41,91,13
2018-06,36,84,13
2018-07,31,79,12
2018-08,31,71,12
2018-09,28,85,13
2018-10,31,94,14
2018-11,28,100,14
2018-12,20,96,12
2019-01,21,91,11
2019-02,21,95,12
2019-03,20,96,12
2019-04,22,91,10
2019-05,23,92,11
2019-06,20,87,12
