Month,Blockchain: (China),Artificial intelligence: (China),Augmented reality: (China)
2004-01,0,9,3
2004-02,0,9,3
2004-03,0,10,2
2004-04,0,11,4
2004-05,0,13,2
2004-06,0,11,2
2004-07,0,10,2
2004-08,0,9,3
2004-09,0,11,3
2004-10,0,13,4
2004-11,0,13,3
2004-12,0,15,3
2005-01,0,13,3
2005-02,0,10,2
2005-03,0,11,3
2005-04,0,12,3
2005-05,<1,12,3
2005-06,0,11,3
2005-07,0,9,3
2005-08,0,11,3
2005-09,<1,12,3
2005-10,<1,11,3
2005-11,0,12,3
2005-12,0,13,3
2006-01,0,12,3
2006-02,0,12,3
2006-03,0,12,3
2006-04,0,12,4
2006-05,0,11,3
2006-06,0,13,2
2006-07,0,10,3
2006-08,0,11,3
2006-09,0,12,4
2006-10,0,12,4
2006-11,0,13,3
2006-12,0,14,3
2007-01,<1,13,3
2007-02,0,11,2
2007-03,0,12,3
2007-04,0,13,3
2007-05,0,14,3
2007-06,0,12,3
2007-07,0,13,4
2007-08,<1,12,3
2007-09,0,13,3
2007-10,0,13,3
2007-11,0,14,3
2007-12,0,15,2
2008-01,<1,17,4
2008-02,0,19,2
2008-03,0,23,2
2008-04,0,23,2
2008-05,0,19,2
2008-06,0,18,2
2008-07,0,17,2
2008-08,0,17,2
2008-09,0,20,2
2008-10,0,20,2
2008-11,0,20,2
2008-12,0,21,2
2009-01,0,26,2
2009-02,<1,22,3
2009-03,0,24,4
2009-04,0,25,3
2009-05,0,28,3
2009-06,<1,32,2
2009-07,0,21,2
2009-08,0,18,2
2009-09,0,17,2
2009-10,<1,16,2
2009-11,0,16,3
2009-12,0,18,3
2010-01,0,17,3
2010-02,0,18,2
2010-03,0,18,3
2010-04,0,18,3
2010-05,0,16,2
2010-06,<1,16,3
2010-07,0,15,3
2010-08,0,16,3
2010-09,0,15,3
2010-10,0,15,3
2010-11,<1,16,3
2010-12,0,17,4
2011-01,0,15,3
2011-02,0,14,3
2011-03,<1,15,4
2011-04,0,16,4
2011-05,0,16,4
2011-06,<1,14,3
2011-07,<1,12,4
2011-08,0,12,3
2011-09,<1,12,3
2011-10,0,13,3
2011-11,0,13,3
2011-12,0,12,3
2012-01,<1,13,2
2012-02,0,12,3
2012-03,<1,13,3
2012-04,0,13,3
2012-05,0,12,3
2012-06,0,11,3
2012-07,0,15,2
2012-08,<1,16,2
2012-09,0,12,5
2012-10,0,13,3
2012-11,0,12,5
2012-12,0,12,5
2013-01,<1,11,4
2013-02,<1,10,3
2013-03,<1,12,4
2013-04,<1,12,4
2013-05,<1,12,5
2013-06,<1,12,4
2013-07,<1,11,4
2013-08,<1,11,4
2013-09,<1,11,4
2013-10,<1,13,4
2013-11,1,14,4
2013-12,<1,13,4
2014-01,<1,13,4
2014-02,1,12,4
2014-03,<1,13,4
2014-04,<1,13,5
2014-05,<1,14,4
2014-06,<1,13,3
2014-07,<1,16,8
2014-08,1,19,5
2014-09,0,15,7
2014-10,1,18,6
2014-11,1,18,8
2014-12,1,20,5
2015-01,1,22,9
2015-02,2,31,8
2015-03,1,21,10
2015-04,0,23,11
2015-05,2,28,11
2015-06,0,34,5
2015-07,2,28,8
2015-08,0,22,9
2015-09,2,28,15
2015-10,2,22,13
2015-11,3,32,13
2015-12,2,43,18
2016-01,2,31,4
2016-02,8,38,4
2016-03,3,55,5
2016-04,3,51,7
2016-05,8,58,7
2016-06,7,31,4
2016-07,7,37,12
2016-08,8,32,7
2016-09,10,40,6
2016-10,13,48,6
2016-11,11,55,11
2016-12,14,48,17
2017-01,11,57,18
2017-02,14,65,17
2017-03,12,67,16
2017-04,10,58,10
2017-05,20,67,14
2017-06,25,66,18
2017-07,22,59,12
2017-08,25,73,16
2017-09,30,75,21
2017-10,20,76,14
2017-11,22,80,17
2017-12,39,94,13
2018-01,88,69,16
2018-02,100,71,15
2018-03,89,86,12
2018-04,57,89,14
2018-05,69,80,15
2018-06,56,78,14
2018-07,50,78,11
2018-08,53,79,12
2018-09,46,84,13
2018-10,47,72,14
2018-11,41,90,17
2018-12,33,84,13
2019-01,31,85,13
2019-02,26,80,10
2019-03,25,88,15
2019-04,25,86,13
2019-05,29,85,10
2019-06,27,70,14
