Month,Blockchain: (United States),Artificial intelligence: (United States),Augmented reality: (United States)
2004-01,<1,63,3
2004-02,0,64,5
2004-03,0,61,4
2004-04,<1,67,5
2004-05,0,63,3
2004-06,<1,54,4
2004-07,<1,61,3
2004-08,<1,50,4
2004-09,<1,59,4
2004-10,<1,56,3
2004-11,1,60,4
2004-12,0,56,3
2005-01,0,53,3
2005-02,<1,53,3
2005-03,<1,51,4
2005-04,<1,51,3
2005-05,0,50,4
2005-06,<1,44,5
2005-07,<1,44,5
2005-08,<1,44,3
2005-09,0,48,3
2005-10,<1,48,4
2005-11,<1,46,4
2005-12,<1,48,4
2006-01,<1,42,3
2006-02,0,41,3
2006-03,<1,45,3
2006-04,<1,44,4
2006-05,<1,44,3
2006-06,<1,42,3
2006-07,<1,39,3
2006-08,0,39,3
2006-09,<1,45,3
2006-10,<1,41,3
2006-11,<1,43,4
2006-12,<1,44,4
2007-01,<1,40,3
2007-02,<1,43,4
2007-03,<1,42,4
2007-04,<1,43,4
2007-05,<1,39,5
2007-06,<1,41,5
2007-07,<1,42,6
2007-08,<1,38,5
2007-09,<1,44,6
2007-10,<1,42,5
2007-11,<1,41,5
2007-12,<1,42,5
2008-01,<1,42,6
2008-02,<1,43,6
2008-03,<1,45,7
2008-04,<1,44,6
2008-05,<1,45,6
2008-06,<1,41,7
2008-07,<1,40,8
2008-08,<1,38,7
2008-09,<1,42,5
2008-10,<1,42,6
2008-11,<1,45,7
2008-12,<1,42,6
2009-01,<1,42,6
2009-02,<1,47,8
2009-03,<1,46,10
2009-04,<1,47,12
2009-05,<1,44,10
2009-06,<1,43,11
2009-07,<1,41,14
2009-08,<1,45,13
2009-09,<1,50,12
2009-10,<1,48,12
2009-11,<1,46,13
2009-12,<1,43,12
2010-01,<1,44,16
2010-02,<1,46,13
2010-03,<1,46,13
2010-04,<1,46,13
2010-05,<1,46,13
2010-06,<1,40,12
2010-07,<1,38,13
2010-08,<1,42,13
2010-09,<1,42,17
2010-10,<1,45,16
2010-11,<1,45,16
2010-12,<1,43,19
2011-01,<1,41,16
2011-02,<1,43,16
2011-03,<1,43,20
2011-04,<1,44,19
2011-05,<1,41,16
2011-06,<1,39,21
2011-07,<1,38,18
2011-08,<1,41,18
2011-09,<1,41,17
2011-10,<1,47,18
2011-11,<1,45,20
2011-12,<1,40,25
2012-01,<1,39,22
2012-02,<1,39,19
2012-03,<1,41,21
2012-04,<1,41,23
2012-05,<1,41,19
2012-06,<1,37,19
2012-07,<1,36,20
2012-08,<1,36,20
2012-09,<1,37,17
2012-10,<1,39,15
2012-11,<1,38,18
2012-12,1,38,23
2013-01,1,37,18
2013-02,1,39,18
2013-03,2,39,17
2013-04,3,39,15
2013-05,2,37,14
2013-06,1,36,16
2013-07,1,35,15
2013-08,1,36,15
2013-09,1,38,13
2013-10,1,39,15
2013-11,3,39,15
2013-12,4,37,20
2014-01,3,40,17
2014-02,4,41,16
2014-03,3,42,15
2014-04,2,41,15
2014-05,2,42,14
2014-06,2,38,15
2014-07,2,41,15
2014-08,2,39,14
2014-09,2,44,13
2014-10,2,41,14
2014-11,2,42,15
2014-12,2,42,19
2015-01,2,47,15
2015-02,2,46,13
2015-03,2,47,14
2015-04,2,48,13
2015-05,2,49,12
2015-06,3,47,13
2015-07,3,51,13
2015-08,3,46,12
2015-09,4,49,12
2015-10,4,48,12
2015-11,5,49,13
2015-12,5,47,15
2016-01,5,50,13
2016-02,5,49,13
2016-03,6,63,14
2016-04,6,55,12
2016-05,8,52,12
2016-06,8,56,13
2016-07,6,46,35
2016-08,7,45,15
2016-09,9,52,14
2016-10,8,61,15
2016-11,9,62,16
2016-12,9,64,16
2017-01,10,62,15
2017-02,10,66,15
2017-03,14,72,15
2017-04,12,75,15
2017-05,18,77,13
2017-06,25,71,15
2017-07,20,77,15
2017-08,25,84,14
2017-09,27,79,25
2017-10,34,84,19
2017-11,43,94,22
2017-12,78,86,28
2018-01,73,91,20
2018-02,48,92,20
2018-03,42,90,21
2018-04,40,93,19
2018-05,40,95,17
2018-06,34,85,17
2018-07,31,80,17
2018-08,30,79,15
2018-09,28,88,17
2018-10,30,94,19
2018-11,26,92,18
2018-12,21,90,16
2019-01,21,95,16
2019-02,22,95,17
2019-03,20,97,18
2019-04,21,100,15
2019-05,26,99,16
2019-06,23,92,17
